horizon,close_median
1,1.16128576
2,1.16179466
3,1.16196811
4,1.16259503
5,1.16229379
6,1.16211927
7,1.16181362
8,1.16218019
9,1.16210389
10,1.16249931
11,1.16247725
12,1.16241217
13,1.16219091
14,1.16196120
